GroupID,Character,Radical,Phonetic,Dazidian,Shuowen,Shuowen_clean,Dazidian_clean,Combined
102.0,倭,人部,委,,須皃。,須皃,,須皃
102.0,諉,言部,委,,諈諉也。,諈諉也,,諈諉也
103.0,借,人部,昔,,假也。,假也,,假也
103.0,諎,言部,昔,,大聲也。,大聲也,,大聲也
104.0,倩,人部,青,,人美字也。,人美字也,,人美字也
104.0,請,言部,青,,謁也。,謁也,,謁也
105.0,倞,人部,京,,彊也。,彊也,,彊也
105.0,諒,言部,京,,信也。,信也,,信也
106.0,倫,人部,侖,,輩也。,輩也,,輩也
106.0,論,言部,侖,,議也。,議也,,議也
107.0,俴,人部,戔,,淺也。,淺也,,淺也
107.0,諓,言部,戔,,善言也。,善言也,,善言也
108.0,倅,人部,卒,,副也。,副也,,副也
108.0,誶,言部,卒,,讓也。,讓也,,讓也
109.0,偏,人部,扁,,頗也。,頗也,,頗也
109.0,諞,言部,扁,,便巧言也。,便巧言也,,便巧言也
110.0,偉,人部,韋,,奇也。,奇也,,奇也
110.0,諱,言部,韋,,忌也。,忌也,,忌也
111.0,偲,人部,思,,彊力也。,彊力也,,彊力也
111.0,諰,言部,思,,思之意。,思之意,,思之意
112.0,偕,人部,皆,,彊也。,彊也,,彊也
112.0,諧,言部,皆,,詥也。,詥也,,詥也
113.0,傔,人部,兼,,從也。,從也,,從也
113.0,謙,言部,兼,,敬也。,敬也,,敬也
114.0,儻,人部,黨,,《說文新附》：“儻，倜儻也。,《說文新附》：“儻，倜儻也,,《說文新附》：“儻，倜儻也
114.0,讜,言部,黨,,直言也。,直言也,,直言也
115.0,傍,人部,旁,,近也。,近也,,近也
115.0,謗,言部,旁,,毁也。,毁也,,毁也
116.0,僂,人部,婁,,厄也。,厄也,,厄也
116.0,謱,言部,婁,,謰謱也。,謰謱也,,謰謱也
117.0,傪,人部,參,,好皃。,好皃,,好皃
117.0,謲,言部,參,,相怒使也。,相怒使也,,相怒使也
118.0,傴,人部,區,,僂也。,僂也,,僂也
118.0,謳,言部,區,,齊歌也。,齊歌也,,齊歌也
119.0,傲,人部,敖,,倨也。,倨也,,倨也
119.0,謷,言部,敖,,不省人言也。,不省人言也,,不省人言也
120.0,僅,人部,堇,,材能也。,材能也,,材能也
120.0,謹,言部,堇,,愼也。,愼也,,愼也
121.0,僇,人部,翏,,癡行僇僇也。,癡行僇僇也,,癡行僇僇也
121.0,謬,言部,翏,,狂者之妄言也。,狂者之妄言也,,狂者之妄言也
122.0,僭,人部,朁,,儗也。,儗也,,儗也
122.0,譖,言部,朁,,愬也。,愬也,,愬也
123.0,僖,人部,喜,,樂也。,樂也,,樂也
123.0,譆,言部,喜,,痛也。,痛也,,痛也
124.0,僩,人部,閒,,武皃。,武皃,,武皃
124.0,譋,言部,閒,,讕或从閒。,讕或,,讕或
125.0,僞,人部,爲,,詐也。,詐也,,詐也
125.0,譌,言部,爲,,譌言也。,譌言也,,譌言也
126.0,僥,人部,堯,,南方有焦僥人長三尺，短之極也。,南方有焦僥人長三尺，短之極也,,南方有焦僥人長三尺，短之極也
126.0,譊,言部,堯,,恚嘑也。,恚嘑也,,恚嘑也
127.0,僟,人部,幾,,精謹也。,精謹也,,精謹也
127.0,譏,言部,幾,,誹也。,誹也,,誹也
128.0,儇,人部,睘,,慧也。,慧也,,慧也
128.0,譞,言部,睘,,譞、此複舉字之未刪者。,譞、此複舉字之未刪者,,譞、此複舉字之未刪者
129.0,儉,人部,僉,,約也。,約也,,約也
129.0,譣,言部,僉,,問也。,問也,,問也
130.0,儆,人部,敬,,戒也。,戒也,,戒也
130.0,警,言部,敬,,言之戒也。,言之戒也,,言之戒也
131.0,僻,人部,辟,,辟也。,辟也,,辟也
131.0,譬,言部,辟,,諭也。,諭也,,諭也
132.0,儀,人部,義,,度也。,度也,,度也
132.0,議,言部,義,,語也。,語也,,語也
133.0,儔,人部,壽,,翳也。,翳也,,翳也
133.0,譸,言部,壽,,詶也。,詶也,,詶也
134.0,儗,人部,疑,,僭也。,僭也,,僭也
134.0,譺,言部,疑,,騃也。,騃也,,騃也
135.0,儡,人部,畾,,相敗也。,相敗也,,相敗也
135.0,讄,言部,畾,,禱也。,禱也,,禱也
136.0,儥,人部,賣,,見也。,見也,,見也
136.0,讀,言部,賣,,籒書也。,籒書也,,籒書也
137.0,儳,人部,毚,,儳互、逗。,儳互、逗,,儳互、逗
137.0,讒,言部,毚,,譖也。,譖也,,譖也
138.0,儻,人部,黨,,倜儻也。,倜儻也,,倜儻也
138.0,讜,言部,黨,,直言也。,直言也,,直言也
